date,holiday_local_name,holiday_name,country_code,fixed,global,counties,launch_year,holiday_types,holiday_flag,day_type
2025-01-01,New Year's Day,New Year's Day,CA,False,True,,,['Public'],1,Holiday
2025-02-17,Louis Riel Day,Louis Riel Day,CA,False,False,['CA-MB'],,['Public'],1,Holiday
2025-03-17,Saint Patrick's Day,Saint Patrick's Day,CA,False,False,['CA-NL'],,['Public'],1,Holiday
2025-04-18,Good Friday,Good Friday,CA,False,True,,,['Public'],1,Holiday
2025-04-21,Easter Monday,Easter Monday,CA,False,False,"['CA-AB', 'CA-PE']",,['Public'],1,Holiday
2025-04-23,Saint George's Day,Saint George's Day,CA,False,False,['CA-NL'],,['Public'],1,Holiday
2025-05-19,National Patriots' Day,National Patriots' Day,CA,False,False,['CA-QC'],,['Public'],1,Holiday
2025-06-21,National Aboriginal Day,National Aboriginal Day,CA,False,False,['CA-NT'],,['Public'],1,Holiday
2025-06-24,Discovery Day,Discovery Day,CA,False,False,['CA-NL'],,['Public'],1,Holiday
2025-07-01,Canada Day,Canada Day,CA,False,True,,,['Public'],1,Holiday
2025-07-12,Orangemen's Day,Orangemen's Day,CA,False,False,['CA-NL'],,['Public'],1,Holiday
2025-08-04,Civic Holiday,Civic Holiday,CA,False,False,"['CA-MB', 'CA-NL', 'CA-NT', 'CA-NU', 'CA-ON']",,['Public'],1,Holiday
2025-08-18,Gold Cup Parade Day,Gold Cup Parade Day,CA,False,False,['CA-PE'],,['Public'],1,Holiday
2025-09-01,Labour Day,Labour Day,CA,False,True,,,['Public'],1,Holiday
2025-09-30,National Day for Truth and Reconciliation,National Day for Truth and Reconciliation,CA,False,True,,,['Public'],1,Holiday
2025-10-13,Thanksgiving,Thanksgiving,CA,False,True,,,['Public'],1,Holiday
2025-11-11,Armistice Day,Armistice Day,CA,False,False,['CA-NL'],,['Public'],1,Holiday
2025-12-25,Christmas Day,Christmas Day,CA,False,True,,,['Public'],1,Holiday
2025-12-26,Boxing Day,St. Stephen's Day,CA,False,False,"['CA-AB', 'CA-NB', 'CA-NS', 'CA-ON', 'CA-PE']",,['Public'],1,Holiday
2026-01-01,New Year's Day,New Year's Day,CA,False,True,,,['Public'],1,Holiday
2026-02-16,Louis Riel Day,Louis Riel Day,CA,False,False,['CA-MB'],,['Public'],1,Holiday
2026-03-17,Saint Patrick's Day,Saint Patrick's Day,CA,False,False,['CA-NL'],,['Public'],1,Holiday
2026-04-03,Good Friday,Good Friday,CA,False,True,,,['Public'],1,Holiday
2026-04-06,Easter Monday,Easter Monday,CA,False,False,"['CA-AB', 'CA-PE']",,['Public'],1,Holiday
2026-04-23,Saint George's Day,Saint George's Day,CA,False,False,['CA-NL'],,['Public'],1,Holiday
2026-05-18,National Patriots' Day,National Patriots' Day,CA,False,False,['CA-QC'],,['Public'],1,Holiday
2026-06-21,National Aboriginal Day,National Aboriginal Day,CA,False,False,['CA-NT'],,['Public'],1,Holiday
2026-06-24,Discovery Day,Discovery Day,CA,False,False,['CA-NL'],,['Public'],1,Holiday
2026-07-01,Canada Day,Canada Day,CA,False,True,,,['Public'],1,Holiday
2026-07-12,Orangemen's Day,Orangemen's Day,CA,False,False,['CA-NL'],,['Public'],1,Holiday
2026-08-03,Civic Holiday,Civic Holiday,CA,False,False,"['CA-MB', 'CA-NL', 'CA-NT', 'CA-NU', 'CA-ON']",,['Public'],1,Holiday
2026-08-17,Gold Cup Parade Day,Gold Cup Parade Day,CA,False,False,['CA-PE'],,['Public'],1,Holiday
2026-09-07,Labour Day,Labour Day,CA,False,True,,,['Public'],1,Holiday
2026-09-30,National Day for Truth and Reconciliation,National Day for Truth and Reconciliation,CA,False,True,,,['Public'],1,Holiday
2026-10-12,Thanksgiving,Thanksgiving,CA,False,True,,,['Public'],1,Holiday
2026-11-11,Armistice Day,Armistice Day,CA,False,False,['CA-NL'],,['Public'],1,Holiday
2026-12-25,Christmas Day,Christmas Day,CA,False,True,,,['Public'],1,Holiday
2026-12-26,Boxing Day,St. Stephen's Day,CA,False,False,"['CA-AB', 'CA-NB', 'CA-NS', 'CA-ON', 'CA-PE']",,['Public'],1,Holiday
